City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Rikitea,PF,74.73,-23.1203,-134.9692,Chez Bianca & Benoit
2,Bontang,ID,74.32,0.1333,117.5,Hotel Sederhana
3,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
7,Maragogi,BR,78.24,-9.0122,-35.2225,Pousada Mariluz
10,Anloga,GH,80.89,5.7947,0.8973,Hotel de White House
14,Kapaa,US,80.92,22.0752,-159.319,Pono Kai Resort
19,Cidreira,BR,72.12,-30.1811,-50.2056,Hotel Castelo
31,Matadi,CD,77.22,-5.8167,13.45,Hôtel Métroplole
34,Namatanai,PG,82.26,-3.6667,152.4333,Namatanai Hotel
38,Sao Filipe,CV,74.43,14.8961,-24.4956,Bela Vista
41,Oussouye,SN,77.18,12.485,-16.5469,Campement Alulum
42,Plaine Magnien,MU,73.4,-20.4286,57.6531,Secret Escape
44,Hithadhoo,MV,80.78,-0.6,73.0833,Pebbles Inn
45,Novo Aripuana,BR,76.91,-5.1206,-60.3797,Hotel Novo Aripuanã
47,Atuona,PF,78.1,-9.8,-139.0333,Pearl Resort
49,Avarua,CK,84.25,-21.2078,-159.775,Paradise Inn
54,Pisco,PE,73.45,-13.7,-76.2167,La Portada
60,Mareeba,AU,74.12,-17.0,145.4333,The Gateway Hotel
67,Santa Rosa,PH,80.58,14.3122,121.1114,JARS RESORT
68,Cabo San Lucas,MX,85.6,22.8909,-109.9124,Comfort Rooms
73,Praia,CV,73.94,14.9215,-23.5087,Casa Sodadi
75,Georgetown,MY,79.23,5.4112,100.3354,Page 63 hostel
76,Hilo,US,84.27,19.7297,-155.09,Dolphin Bay Hotel
77,Meulaboh,ID,74.7,4.1363,96.1285,Hotel Meuligou
79,Sur,OM,73.56,22.5667,59.5289,Sur Hotel
83,Vaini,TO,84.36,-21.2,-175.2,Keleti International Resort
85,Faanui,PF,80.47,-16.4833,-151.75,Oa Oa Lodge
88,Saint-Philippe,RE,72.99,-21.3585,55.7679,Le Baril
92,Tutoia,BR,80.13,-2.7619,-42.2744,Pousada San Vicente
93,Namibe,AO,70.12,-15.1961,12.1522,Hotel Chik Chik Namibe
94,Mahebourg,MU,74.25,-20.4081,57.7,Grand Bel Air
95,Miri,MY,73.54,4.4148,114.0089,Kenyalang Suites Miri
96,Puerto Ayora,EC,78.76,-0.7393,-90.3518,Hostal La Mirada De Solitario George
101,Souillac,MU,73.78,-20.5167,57.5167,Hotel SkylineInn
