City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,74.73,74,100,9.55,overcast clouds
1,Nikolskoye,RU,59.7035,30.7861,16.81,88,99,2.82,overcast clouds
2,Bontang,ID,0.1333,117.5,74.32,94,100,5.41,overcast clouds
3,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,18.41,light rain
4,Waipawa,NZ,-41.4122,175.5153,52.74,83,99,8.43,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,56.86,44,75,13.8,broken clouds
6,Cape Town,ZA,-33.9258,18.4232,67.26,81,40,12.66,scattered clouds
7,Maragogi,BR,-9.0122,-35.2225,78.24,80,42,11.52,scattered clouds
8,Taksimo,RU,56.3444,114.8794,-14.64,90,100,3.29,overcast clouds
9,Rock Springs,US,41.5875,-109.2029,42.04,52,0,20.71,clear sky
10,Anloga,GH,5.7947,0.8973,80.89,80,99,9.28,overcast clouds
11,Bluff,NZ,-46.6,168.3333,50.81,64,58,17.69,broken clouds
12,Talnakh,RU,69.4865,88.3972,1.85,99,100,3.22,light snow
13,Fort Nelson,CA,58.8053,-122.7002,-18.81,69,20,0.0,few clouds
14,Kapaa,US,22.0752,-159.319,80.92,60,0,12.66,clear sky
15,Ripoll,ES,42.2006,2.1903,39.58,86,8,1.01,clear sky
16,Barrow,US,71.2906,-156.7887,24.82,93,100,10.36,light snow
17,Castro,BR,-24.7911,-50.0119,66.79,83,6,1.92,clear sky
18,Mataura,NZ,-46.1927,168.8643,50.49,90,70,8.1,broken clouds
19,Cidreira,BR,-30.1811,-50.2056,72.12,94,95,15.66,overcast clouds
20,Ponta Do Sol,PT,32.6667,-17.1,68.0,74,29,6.98,scattered clouds
21,Bredasdorp,ZA,-34.5322,20.0403,62.85,89,46,6.69,light rain
22,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,86,64,22.1,light rain
23,Ulladulla,AU,-35.35,150.4667,59.95,88,100,6.76,overcast clouds
24,Imeni Zhelyabova,RU,58.9544,36.5956,7.34,94,29,2.39,scattered clouds
25,Klaksvik,FO,62.2266,-6.589,50.92,97,100,27.18,light rain
26,Kodiak,US,57.79,-152.4072,33.73,70,37,18.84,scattered clouds
27,Tiksi,RU,71.6872,128.8694,-9.94,97,100,12.46,overcast clouds
28,Clyde River,CA,70.4692,-68.5914,-23.57,76,75,3.44,haze
29,Busselton,AU,-33.65,115.3333,54.82,90,3,6.04,clear sky
30,Bereda,ES,43.2686,-7.5406,34.14,100,11,2.66,few clouds
31,Matadi,CD,-5.8167,13.45,77.22,94,100,3.11,light rain
32,Port Elizabeth,ZA,-33.918,25.5701,66.09,95,20,10.36,few clouds
33,Hobart,AU,-42.8794,147.3294,58.26,69,20,6.91,few clouds
34,Namatanai,PG,-3.6667,152.4333,82.26,75,99,4.14,overcast clouds
35,Victoria,HK,22.2855,114.1577,59.25,77,100,13.0,overcast clouds
36,Adrar,MR,20.5022,-10.0711,69.87,19,0,7.29,clear sky
37,Svetlyy,RU,54.675,20.1347,32.05,90,47,5.01,scattered clouds
38,Sao Filipe,CV,14.8961,-24.4956,74.43,65,100,10.67,overcast clouds
39,Awjilah,LY,29.1081,21.2869,56.71,42,0,4.61,clear sky
40,Upernavik,GL,72.7868,-56.1549,-1.21,99,91,19.06,overcast clouds
41,Oussouye,SN,12.485,-16.5469,77.18,69,21,10.0,few clouds
42,Plaine Magnien,MU,-20.4286,57.6531,73.4,88,20,5.75,few clouds
43,Port Alfred,ZA,-33.5906,26.891,67.17,89,66,4.0,broken clouds
44,Hithadhoo,MV,-0.6,73.0833,80.78,68,46,6.98,scattered clouds
45,Novo Aripuana,BR,-5.1206,-60.3797,76.91,92,92,1.45,moderate rain
46,Albany,US,42.6001,-73.9662,37.22,58,92,3.0,overcast clouds
47,Atuona,PF,-9.8,-139.0333,78.1,69,8,20.54,clear sky
48,Lompoc,US,34.6391,-120.4579,59.52,67,100,13.8,overcast clouds
49,Avarua,CK,-21.2078,-159.775,84.25,79,15,9.22,few clouds
50,Cordenons,IT,45.9836,12.6949,46.78,88,75,4.61,light rain
51,Nuuk,GL,64.1835,-51.7216,16.88,67,53,21.0,broken clouds
52,Chicama,PE,-7.8447,-79.1469,68.54,70,18,9.04,few clouds
53,Liverpool,GB,53.4106,-2.9779,41.61,95,100,8.05,fog
54,Pisco,PE,-13.7,-76.2167,73.45,68,0,18.41,clear sky
55,Punta Arenas,CL,-53.15,-70.9167,57.31,47,75,29.93,broken clouds
56,Prince Rupert,CA,54.3161,-130.3201,24.89,47,75,13.8,broken clouds
57,Ust-Ilimsk,RU,58.0006,102.6619,-13.38,96,100,5.46,overcast clouds
58,Naica,MX,27.85,-105.4833,75.22,19,0,3.56,clear sky
59,Pacific Grove,US,36.6177,-121.9166,56.08,85,100,23.0,moderate rain
60,Mareeba,AU,-17.0,145.4333,74.12,80,98,3.11,overcast clouds
61,Tilichiki,RU,60.4667,166.1,11.44,95,93,0.83,overcast clouds
62,Leninsk-Kuznetskiy,RU,54.6567,86.1737,-2.97,97,83,5.99,broken clouds
63,Cherskiy,RU,68.75,161.3,-18.22,98,98,5.86,overcast clouds
64,Darhan,MN,49.4867,105.9228,-2.29,99,100,3.22,light snow
65,Pevek,RU,69.7008,170.3133,24.46,89,98,12.71,overcast clouds
66,Cananeia,BR,-25.0147,-47.9267,73.98,96,59,5.61,broken clouds
67,Santa Rosa,PH,14.3122,121.1114,80.58,95,100,13.2,overcast clouds
68,Cabo San Lucas,MX,22.8909,-109.9124,85.6,65,100,3.47,overcast clouds
69,Manubul,PH,5.4732,120.7986,81.93,73,99,1.97,overcast clouds
70,Ziro,IN,27.6333,93.8333,39.92,80,1,2.86,clear sky
71,Iranshahr,IR,27.2025,60.6848,61.14,21,0,4.61,clear sky
72,Pangnirtung,CA,66.1451,-65.7125,12.2,37,100,19.57,overcast clouds
73,Praia,CV,14.9215,-23.5087,73.94,68,20,14.97,few clouds
74,Turukhansk,RU,65.8167,87.9833,1.67,97,100,7.14,overcast clouds
75,Georgetown,MY,5.4112,100.3354,79.23,81,20,4.61,few clouds
76,Hilo,US,19.7297,-155.09,84.27,75,75,10.36,broken clouds
77,Meulaboh,ID,4.1363,96.1285,74.7,90,100,3.33,overcast clouds
78,Nanortalik,GL,60.1432,-45.2371,21.72,74,3,17.05,clear sky
79,Sur,OM,22.5667,59.5289,73.56,49,100,5.3,overcast clouds
80,Shunyi,CN,40.125,116.6453,15.75,57,0,2.24,clear sky
81,Omsukchan,RU,62.5333,155.8,-11.9,100,100,6.51,overcast clouds
82,Khatanga,RU,71.9667,102.5,9.86,93,99,13.56,overcast clouds
83,Vaini,TO,-21.2,-175.2,84.36,74,40,5.75,scattered clouds
84,Carnarvon,AU,-24.8667,113.6333,68.63,78,0,12.93,clear sky
85,Faanui,PF,-16.4833,-151.75,80.47,79,80,19.46,broken clouds
86,Mancio Lima,BR,-7.6142,-72.8958,86.07,70,40,9.22,scattered clouds
87,Deputatskiy,RU,69.3,139.9,-15.57,97,100,7.87,overcast clouds
88,Saint-Philippe,RE,-21.3585,55.7679,72.99,79,22,5.39,few clouds
89,Bambous Virieux,MU,-20.3428,57.7575,74.21,88,20,5.75,light rain
90,Lasa,IT,46.6166,10.7002,31.37,79,93,0.63,overcast clouds
91,Hami,CN,42.8,93.45,15.78,21,100,0.87,overcast clouds
92,Tutoia,BR,-2.7619,-42.2744,80.13,79,50,13.56,moderate rain
93,Namibe,AO,-15.1961,12.1522,70.12,76,100,8.7,overcast clouds
94,Mahebourg,MU,-20.4081,57.7,74.25,88,20,5.75,few clouds
95,Miri,MY,4.4148,114.0089,73.54,94,40,3.44,scattered clouds
96,Puerto Ayora,EC,-0.7393,-90.3518,78.76,91,81,8.01,broken clouds
97,Severo-Kurilsk,RU,50.6789,156.125,26.51,74,87,9.19,overcast clouds
98,Constitucion,CL,-35.3333,-72.4167,61.75,60,0,17.31,clear sky
99,Saskylakh,RU,71.9167,114.0833,-25.22,100,98,4.59,overcast clouds
